train_accuracy_step,train_f1score_step,train_labelsmoothingcrossentropy_step,epoch,step,val_accuracy,val_f1score,val_labelsmoothingcrossentropy,train_accuracy_epoch,train_f1score_epoch,train_labelsmoothingcrossentropy_epoch
,,,21,3101,0.1160714253783226,0.01881846785545349,3.003230333328247,,,
,,,21,3101,,,,0.8397606611251831,0.8251587748527527,0.6612460613250732
0.703125,0.682425320148468,1.0676722526550293,22,3149,,,,,,
0.8125,0.7148042917251587,0.7255679965019226,22,3199,,,,,,
,,,22,3242,0.2053571492433548,0.13066747784614563,2.6647732257843018,,,
,,,22,3242,,,,0.7372562289237976,0.6972507238388062,0.9485989809036255
0.796875,0.8018207550048828,0.7991771697998047,23,3249,,,,,,
0.921875,0.9189995527267456,0.4824703633785248,23,3299,,,,,,
0.90625,0.8533508777618408,0.48012882471084595,23,3349,,,,,,
,,,23,3383,0.30092594027519226,0.2629827857017517,2.5658607482910156,,,
,,,23,3383,,,,0.8748891949653625,0.8720782995223999,0.5435346364974976
0.859375,0.8405950665473938,0.5357863903045654,24,3399,,,,,,
0.921875,0.871295690536499,0.4670266807079315,24,3449,,,,,,
0.953125,0.9381482005119324,0.3080238103866577,24,3499,,,,,,
,,,24,3524,0.3660714328289032,0.31460756063461304,2.479168653488159,,,
,,,24,3524,,,,0.9298537373542786,0.9318978786468506,0.38955241441726685
0.875,0.7878736257553101,0.4632527232170105,25,3549,,,,,,
0.9375,0.9538027048110962,0.3571273684501648,25,3599,,,,,,
0.875,0.8605780601501465,0.5116950869560242,25,3649,,,,,,
,,,25,3665,0.3611111044883728,0.31231871247291565,2.358215093612671,,,
,,,25,3665,,,,0.9485815763473511,0.9572781324386597,0.3302661180496216
0.921875,0.9307990074157715,0.33823123574256897,26,3699,,,,,,
1.0,1.0,0.18353603780269623,26,3749,,,,,,
0.96875,0.9772727489471436,0.29908663034439087,26,3799,,,,,,
,,,26,3806,0.5978835821151733,0.5410696864128113,1.6311609745025635,,,
,,,26,3806,,,,0.960660457611084,0.9682918787002563,0.2963469326496124
0.96875,0.9841310977935791,0.2709695100784302,27,3849,,,,,,
0.984375,0.9764705896377563,0.2157001495361328,27,3899,,,,,,
,,,27,3947,0.4900793731212616,0.4542482793331146,1.9196885824203491,,,
,,,27,3947,,,,0.9633200168609619,0.9710350036621094,0.28092077374458313
0.953125,0.9645256996154785,0.3166840672492981,28,3949,,,,,,
0.984375,0.9906629323959351,0.20082852244377136,28,3999,,,,,,
0.984375,0.978835940361023,0.24139171838760376,28,4049,,,,,,
,,,28,4088,0.5982142686843872,0.5375218391418457,1.5576764345169067,,,
,,,28,4088,,,,0.9640957713127136,0.9721187353134155,0.2717227637767792
0.953125,0.9658194184303284,0.2905818521976471,29,4099,,,,,,
0.96875,0.9885416626930237,0.23107466101646423,29,4149,,,,,,
0.953125,0.958237886428833,0.2871086895465851,29,4199,,,,,,
,,,29,4229,0.6005290746688843,0.5417543053627014,1.541456937789917,,,
,,,29,4229,,,,0.9660904407501221,0.973529040813446,0.2641827166080475
